31006
1915;X = -3.999512	Y = -2.250122	Z = 1.219727
1920;X = -3.999512	Y = -2.250122	Z = 1.219727
1925;X = -2.436401	Y = 2.125977	Z = -1.531616
1929;X = -2.436401	Y = 2.125977	Z = -1.531616
1934;X = 3.905640	Y = -1.499878	Z = 0.437622
1938;X = 3.905640	Y = -1.499878	Z = 0.437622
1942;X = 3.905640	Y = -1.499878	Z = 0.437622
1947;X = 3.311890	Y = -1.875244	Z = 2.500488
1951;X = 3.311890	Y = -1.875244	Z = 2.500488
1956;X = -3.750244	Y = -1.031494	Z = -0.249878
1960;X = -3.750244	Y = -1.031494	Z = -0.249878
1966;X = -0.437622	Y = 1.219116	Z = 3.656616
1970;X = -0.437622	Y = 1.219116	Z = 3.656616
1975;X = -3.749878	Y = -3.249512	Z = -3.499634
1979;X = -3.749878	Y = -3.249512	Z = -3.499634
1984;X = -3.749878	Y = -3.249512	Z = -3.499634
1988;X = 3.906128	Y = -2.624512	Z = -3.093750
1993;X = 3.906128	Y = -2.624512	Z = -3.093750
1997;X = 1.062012	Y = 2.125488	Z = -3.437012
2002;X = 1.062012	Y = 2.125488	Z = -3.437012
2007;X = -0.999878	Y = 2.156616	Z = 2.124878
2012;X = -0.999878	Y = 2.156616	Z = 2.124878
2016;X = -1.750000	Y = 3.062500	Z = -1.875977
2021;X = -1.750000	Y = 3.062500	Z = -1.875977
2025;X = -0.219116	Y = -0.406738	Z = 2.781250
2030;X = -0.219116	Y = -0.406738	Z = 2.781250
2034;X = -0.219116	Y = -0.406738	Z = 2.781250
2038;X = 3.188110	Y = 1.750244	Z = -0.125244
2043;X = 3.188110	Y = 1.750244	Z = -0.125244
2048;X = 3.030640	Y = 1.655273	Z = 3.437500
2053;X = 3.030640	Y = 1.655273	Z = 3.437500
2057;X = -0.188965	Y = 1.280640	Z = -1.438110
2062;X = -0.188965	Y = 1.280640	Z = -1.438110
2066;X = 0.062012	Y = 1.437744	Z = 3.688232
2071;X = 0.062012	Y = 1.437744	Z = 3.688232
2075;X = -1.906250	Y = 1.469727	Z = 0.249146
2080;X = -1.906250	Y = 1.469727	Z = 0.249146
2084;X = -1.906250	Y = 1.469727	Z = 0.249146
2089;X = 3.154907	Y = 3.750000	Z = -3.530640
2094;X = 3.154907	Y = 3.750000	Z = -3.530640
2099;X = -1.969360	Y = -2.000366	Z = 1.376587
2103;X = -1.969360	Y = -2.000366	Z = 1.376587
2107;X = -3.375000	Y = 3.124634	Z = 0.844482
2112;X = -3.375000	Y = 3.124634	Z = 0.844482
2116;X = -1.969727	Y = 0.875488	Z = -2.968994
2121;X = -1.969727	Y = 0.875488	Z = -2.968994
2125;X = -1.969727	Y = 0.875488	Z = -2.968994
